                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4142,                 1.2233,                 1.8431,                  1.495,                 1.6888,                 1.8624,                0.68739,                0.56667,                0.66696,                0.36862,                 1.6397,                 1.3914,                 2.0917,                 1.6262,                 1.7885,                  2.207,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4083,                 1.2236,                 1.7966,                 1.4486,                 1.5964,                 1.8451,                0.56997,                0.58333,                 0.6497,                  0.366,                  1.533,                 1.2282,                 2.0086,                 1.5766,                 1.6592,                 2.0471,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3755,                 1.2056,                 1.8106,                 1.4779,                 1.5935,                 1.8391,                0.71094,                0.61489,                0.71266,                0.42531,                  1.424,                 1.1242,                 2.0052,                 1.4786,                  1.506,                 2.0629,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4932,                 1.2612,                  1.875,                 1.4777,                 1.6832,                 1.8275,                0.63788,                0.52853,                0.60747,                0.35821,                 1.5841,                 1.2791,                  2.106,                 1.5859,                 1.7351,                 2.1073,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.5491,                 1.2514,                 1.9307,                 1.5575,                 1.6189,                 1.9118,                0.50441,                0.56667,                0.57335,                0.38582,                  1.396,                 1.2646,                 1.9292,                 1.4181,                 1.8052,                 2.0369,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.4291,                 1.2019,                 1.7933,                 1.5029,                 1.5446,                 1.8326,                0.53438,                0.61214,                0.58945,                0.38038,                 1.4555,                 1.2467,                 1.9677,                 1.4338,                 1.7016,                  2.019,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.4725,                 1.2332,                 1.8586,                 1.4905,                 1.5595,                 1.8703,                0.54963,                    0.6,                0.60071,                0.36081,                 1.5172,                 1.5634,                 2.0188,                 1.4727,                 1.9898,                  2.058,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5139,                 1.2486,                  1.867,                  1.562,                 1.6068,                 1.8697,                 0.7424,                   0.55,                0.69989,                 0.4441,                 1.4257,                 1.0901,                 1.9428,                  1.376,                 1.5123,                 1.9292,               0.001604,               0.001604,               0.001604
                     43,                 1.4515,                 1.2006,                 1.8282,                 1.4638,                 1.4938,                 1.8344,                0.56657,                0.69718,                0.64212,                0.41099,                 1.3968,                 1.0262,                   1.91,                 1.2735,                  1.528,                 1.8792,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.4463,                 1.1357,                 1.8149,                 1.5005,                 1.5229,                 1.8409,                 0.6396,                    0.7,                0.67508,                 0.4185,                  1.432,                 1.1501,                 1.9268,                 1.4092,                  1.464,                  1.979,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3792,                 1.1586,                 1.7745,                    1.4,                 1.5369,                 1.7835,                 0.8375,                   0.55,                0.70291,                0.42645,                 1.4952,                 1.2437,                 1.9886,                  1.428,                 1.6245,                 1.9602,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.3741,                 1.0589,                 1.7607,                 1.4117,                 1.4347,                 1.7523,                 0.7641,                0.61667,                0.74692,                0.46844,                 1.3435,                 1.0015,                 1.8545,                 1.3823,                 1.3985,                 1.8788,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.4245,                 1.0999,                 1.7711,                 1.4305,                 1.4153,                 1.7507,                0.57327,                    0.6,                0.64175,                0.40434,                 1.4023,                 1.3261,                 1.9824,                 1.3774,                 1.6256,                 1.9936,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.4545,                 1.1527,                 1.8361,                 1.4923,                 1.4814,                 1.8327,                0.67145,                0.68126,                 0.7337,                0.47424,                  1.256,                0.98476,                 1.8161,                  1.329,                 1.3281,                 1.8544,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.3486,                 1.0439,                 1.7907,                 1.3994,                 1.3349,                 1.8039,                0.71342,                0.62244,                0.78651,                0.45802,                 1.4338,                 1.0114,                 1.9362,                 1.5151,                 1.3149,                 2.0255,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.3512,                 1.0963,                 1.7478,                  1.401,                 1.3366,                 1.7468,                0.91163,                0.48333,                0.71108,                0.46117,                 1.2007,                 1.1644,                 1.7614,                 1.3273,                  1.489,                 1.8744,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.3039,                 1.1141,                  1.724,                 1.4148,                 1.3677,                 1.7679,                0.75155,                0.65548,                0.75395,                0.45313,                 1.2352,                 1.2466,                 1.8155,                 1.3185,                 1.5856,                 1.8868,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.2457,                  1.011,                 1.7074,                 1.3523,                 1.3413,                 1.7543,                0.85002,                0.56674,                0.74133,                0.48911,                 1.2585,                 1.1143,                 1.8498,                 1.2961,                 1.4415,                 1.8961,               0.001505,               0.001505,               0.001505
                     53,                 1.3061,                 1.0359,                 1.7235,                  1.343,                 1.2994,                 1.7327,                0.68529,                    0.7,                0.75567,                 0.4937,                  1.267,                 1.0052,                   1.81,                 1.3236,                 1.3287,                 1.8636,              0.0014951,              0.0014951,              0.0014951
